rcept_no,reprt_code,bsns_year,sj_div,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,ord,currency
20220308000798,11011,2021,BS,ifrs-full_CurrentAssets,유동자산,-,제 53 기,218163185000000,1,KRW
20220308000798,11011,2021,BS,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 53 기,39031415000000,2,KRW
20220308000798,11011,2021,BS,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 53 기,81708986000000,3,KRW
20220308000798,11011,2021,BS,-표준계정코드 미사용-,단기상각후원가금융자산,-,제 53 기,3369034000000,4,KRW
20220308000798,11011,2021,BS,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,단기당기손익-공정가치금융자산,-,제 53 기,40757000000,5,KRW
20220308000798,11011,2021,BS,dart_ShortTermTradeReceivable,매출채권,-,제 53 기,40713415000000,6,KRW
20220308000798,11011,2021,BS,-표준계정코드 미사용-,미수금,-,제 53 기,4497257000000,7,KRW
20220308000798,11011,2021,BS,-표준계정코드 미사용-,선급비용,-,제 53 기,2336252000000,8,KRW
20220308000798,11011,2021,BS,ifrs-full_Inventories,재고자산,-,제 53 기,41384404000000,9,KRW
20220308000798,11011,2021,BS,dart_OtherCurrentAssets,기타유동자산,-,제 53 기,5081665000000,10,KRW
20220308000798,11011,2021,BS,-표준계정코드 미사용-,매각예정분류자산,-,제 53 기,0,11,KRW
20220308000798,11011,2021,BS,ifrs-full_NoncurrentAssets,비유동자산,-,제 53 기,208457973000000,12,KRW
20220308000798,11011,2021,BS,-표준계정코드 미사용-,기타포괄손익-공정가치금융자산,-,제 53 기,13965839000000,13,KRW
20220308000798,11011,2021,BS,-표준계정코드 미사용-,당기손익-공정가치금융자산,-,제 53 기,1525344000000,14,KRW
20220308000798,11011,2021,BS,-표준계정코드 미사용-,관계기업 및 공동기업 투자,-,제 53 기,8932251000000,15,KRW
20220308000798,11011,2021,BS,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 53 기,149928539000000,16,KRW
20220308000798,11011,2021,BS,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 53 기,20236244000000,17,KRW
20220308000798,11011,2021,BS,dart_DepositsForSeveranceInsurance,순확정급여자산,-,제 53 기,2809590000000,18,KRW
20220308000798,11011,2021,BS,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 53 기,4261214000000,19,KRW
20220308000798,11011,2021,BS,dart_OtherNonCurrentAssets,기타비유동자산,-,제 53 기,6798952000000,20,KRW
20220308000798,11011,2021,BS,ifrs-full_Assets,자산총계,-,제 53 기,426621158000000,21,KRW
20220308000798,11011,2021,BS,ifrs-full_CurrentLiabilities,유동부채,-,제 53 기,88117133000000,23,KRW
20220308000798,11011,2021,BS,-표준계정코드 미사용-,매입채무,-,제 53 기,13453351000000,24,KRW
20220308000798,11011,2021,BS,ifrs-full_ShorttermBorrowings,단기차입금,-,제 53 기,13687793000000,25,KRW
20220308000798,11011,2021,BS,-표준계정코드 미사용-,미지급금,-,제 53 기,15584866000000,26,KRW
20220308000798,11011,2021,BS,-표준계정코드 미사용-,선수금,-,제 53 기,1224812000000,27,KRW
20220308000798,11011,2021,BS,-표준계정코드 미사용-,예수금,-,제 53 기,1294052000000,28,KRW
20220308000798,11011,2021,BS,-표준계정코드 미사용-,미지급비용,-,제 53 기,27928031000000,29,KRW
20220308000798,11011,2021,BS,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 53 기,6749149000000,30,KRW
20220308000798,11011,2021,BS,-표준계정코드 미사용-,유동성장기부채,-,제 53 기,1329968000000,31,KRW
20220308000798,11011,2021,BS,ifrs-full_CurrentProvisions,충당부채,-,제 53 기,5372872000000,32,KRW
20220308000798,11011,2021,BS,dart_OtherCurrentLiabilities,기타유동부채,-,제 53 기,1492239000000,33,KRW
20220308000798,11011,2021,BS,-표준계정코드 미사용-,매각예정분류부채,-,제 53 기,0,34,KRW
20220308000798,11011,2021,BS,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 53 기,33604094000000,35,KRW
20220308000798,11011,2021,BS,dart_BondsIssued,사채,-,제 53 기,508232000000,36,KRW
20220308000798,11011,2021,BS,dart_LongTermBorrowingsGross,장기차입금,-,제 53 기,2866156000000,37,KRW
20220308000798,11011,2021,BS,dart_LongTermOtherPayablesGross,장기미지급금,-,제 53 기,2991440000000,38,KRW
20220308000798,11011,2021,BS,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 53 기,465884000000,39,KRW
20220308000798,11011,2021,BS,ifrs-full_DeferredTaxLiabilities,이연법인세부채,-,제 53 기,23198205000000,40,KRW
20220308000798,11011,2021,BS,ifrs-full_NoncurrentProvisions,장기충당부채,-,제 53 기,2306994000000,41,KRW
20220308000798,11011,2021,BS,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 53 기,1267183000000,42,KRW
20220308000798,11011,2021,BS,ifrs-full_Liabilities,부채총계,-,제 53 기,121721227000000,43,KRW
20220308000798,11011,2021,BS,ifrs-full_EquityAttributableToOwnersOfParent,지배기업 소유주지분,-,제 53 기,296237697000000,45,KRW
20220308000798,11011,2021,BS,ifrs-full_IssuedCapital,자본금,-,제 53 기,897514000000,46,KRW
20220308000798,11011,2021,BS,dart_IssuedCapitalOfPreferredStock,우선주자본금,-,제 53 기,119467000000,47,KRW
20220308000798,11011,2021,BS,dart_IssuedCapitalOfCommonStock,보통주자본금,-,제 53 기,778047000000,48,KRW
20220308000798,11011,2021,BS,ifrs-full_SharePremium,주식발행초과금,-,제 53 기,4403893000000,49,KRW
20220308000798,11011,2021,BS,ifrs-full_RetainedEarnings,이익잉여금(결손금),-,제 53 기,293064763000000,50,KRW
20220308000798,11011,2021,BS,dart_ElementsOfOtherStockholdersEquity,기타자본항목,-,제 53 기,-2128473000000,51,KRW
20220308000798,11011,2021,BS,-표준계정코드 미사용-,매각예정분류기타자본항목,-,제 53 기,0,52,KRW
20220308000798,11011,2021,BS,ifrs-full_NoncontrollingInterests,비지배지분,-,제 53 기,8662234000000,53,KRW
20220308000798,11011,2021,BS,ifrs-full_Equity,자본총계,-,제 53 기,304899931000000,54,KRW
20220308000798,11011,2021,BS,ifrs-full_EquityAndLiabilities,부채와자본총계,-,제 53 기,426621158000000,55,KRW
20220308000798,11011,2021,IS,ifrs-full_Revenue,수익(매출액),-,제 53 기,279604799000000,0,KRW
20220308000798,11011,2021,IS,ifrs-full_CostOfSales,매출원가,-,제 53 기,166411342000000,1,KRW
20220308000798,11011,2021,IS,ifrs-full_GrossProfit,매출총이익,-,제 53 기,113193457000000,2,KRW
20220308000798,11011,2021,IS,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 53 기,61559601000000,3,KRW
20220308000798,11011,2021,IS,dart_OperatingIncomeLoss,영업이익,-,제 53 기,51633856000000,4,KRW
20220308000798,11011,2021,IS,dart_OtherGains,기타수익,-,제 53 기,2205695000000,5,KRW
20220308000798,11011,2021,IS,dart_OtherLosses,기타비용,-,제 53 기,2055971000000,6,KRW
20220308000798,11011,2021,IS,-표준계정코드 미사용-,지분법이익,-,제 53 기,729614000000,7,KRW
20220308000798,11011,2021,IS,ifrs-full_FinanceIncome,금융수익,-,제 53 기,8543187000000,8,KRW
20220308000798,11011,2021,IS,-표준계정코드 미사용-,금융비용,-,제 53 기,7704554000000,9,KRW
20220308000798,11011,2021,IS,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),-,제 53 기,53351827000000,10,KRW
