,Close,year,stock_code
0,25200,2015,005930
1,36040,2016,005930
2,50960,2017,005930
3,38700,2018,005930
4,55800,2019,005930
5,81000,2020,005930
6,78300,2021,005930
7,30750,2015,000660
8,44700,2016,000660
9,76500,2017,000660
10,60500,2018,000660
11,94100,2019,000660
12,118500,2020,000660
13,131000,2021,000660
14,149233,2016,207940
15,366658,2017,207940
16,381977,2018,207940
17,427932,2019,207940
18,816333,2020,207940
19,892432,2021,207940
20,328500,2015,051910
21,261000,2016,051910
22,405000,2017,051910
23,347000,2018,051910
24,317500,2019,051910
25,824000,2020,051910
26,615000,2021,051910
27,149000,2015,005380
28,146000,2016,005380
29,156000,2017,005380
30,118500,2018,005380
31,120500,2019,005380
32,192000,2020,005380
33,209000,2021,005380
34,114000,2015,006400
35,109000,2016,006400
36,204500,2017,006400
37,219000,2018,006400
38,236000,2019,006400
39,628000,2020,006400
40,655000,2021,006400
41,131786,2015,035420
42,155220,2016,035420
43,174247,2017,035420
44,122000,2018,035420
45,186500,2019,035420
46,292500,2020,035420
47,378500,2021,035420
48,52600,2015,000270
49,39250,2016,000270
50,33500,2017,000270
51,33700,2018,000270
52,44300,2019,000270
53,62400,2020,000270
54,82200,2021,000270
55,23243,2015,035720
56,15455,2016,035720
57,27498,2017,035720
58,20673,2018,035720
59,30810,2019,035720
60,78179,2020,035720
61,112500,2021,035720
62,166500,2015,005490
63,257500,2016,005490
64,332500,2017,005490
65,243000,2018,005490
66,236500,2019,005490
67,272000,2020,005490
68,274500,2021,005490
69,140000,2015,028260
70,125500,2016,028260
71,126000,2017,028260
72,105500,2018,028260
73,108500,2019,028260
74,138000,2020,028260
75,119000,2021,028260
76,33150,2015,105560
77,42800,2016,105560
78,63400,2017,105560
79,46500,2018,105560
80,47650,2019,105560
81,43400,2020,105560
82,55000,2021,105560
83,166500,2015,005490
84,257500,2016,005490
85,332500,2017,005490
86,243000,2018,005490
87,236500,2019,005490
88,272000,2020,005490
89,274500,2021,005490
90,246500,2015,012330
91,264000,2016,012330
92,263000,2017,012330
93,190000,2018,012330
94,256000,2019,012330
95,255500,2020,012330
96,254500,2021,012330
97,39550,2015,055550
98,45250,2016,055550
99,49400,2017,055550
100,39600,2018,055550
101,43350,2019,055550
102,32050,2020,055550
103,36800,2021,055550
104,130000,2015,096770
105,146500,2016,096770
106,204500,2017,096770
107,179500,2018,096770
108,150000,2019,096770
109,190000,2020,096770
110,238500,2021,096770
111,240500,2015,034730
112,229500,2016,034730
113,283000,2017,034730
114,260000,2018,034730
115,262000,2019,034730
116,240500,2020,034730
117,251000,2021,034730
118,53800,2015,066570
119,51600,2016,066570
120,106000,2017,066570
121,62300,2018,066570
122,72100,2019,066570
123,135000,2020,066570
124,138000,2021,066570
125,12859,2015,003670
126,11263,2016,003670
127,37356,2017,003670
128,59789,2018,003670
129,46226,2019,003670
130,104000,2020,003670
131,144000,2021,003670
